Degrees,Force
0,0.07031830
0.09,0.03515915
0.18,0.03515915
0.27,-0.01757957
0.36,0.00000000
0.45,0.00000000
0.54,0.00000000
0.63,-0.01757957
0.72,0.00000000
0.81,0.00000000
0.9,0.01757957
0.99,-0.01757957
1.08,0.00000000
1.17,0.00000000
1.26,0.00000000
1.35,0.00000000
1.44,0.00000000
1.53,0.00000000
1.62,0.00000000
1.71,0.00000000
1.8,0.03515915
1.89,-0.01757957
1.98,0.00000000
2.07,0.00000000
2.16,0.00000000
2.25,0.00000000
2.34,0.00000000
2.43,0.00000000
2.52,0.01757957
2.61,0.00
2.7,-0.02
2.79,0.00
2.88,-0.02
2.97,-0.02
3.06,0.02
3.15,0.02
3.24,0.00
3.33,0.02
3.42,-0.02
3.51,-0.02
3.6,0.00
3.69,0.02
3.78,-0.02
3.87,0.02
3.96,0.00
4.05,0.00
4.14,0.00
4.23,-0.02
4.32,0.00
4.41,0.02
4.5,0.00
4.59,0.00
4.68,-0.02
4.77,0.00
4.86,0.00
4.95,0.00
5.04,0.00
5.13,0.00
5.22,-0.02
5.31,0.02
5.4,0.00
5.49,0.00
5.58,0.00
5.67,0.02
5.76,0.00
5.85,0.02
5.94,-0.02
6.03,0.02
6.12,0.00
6.21,0.00
6.3,0.00
6.39,0.00
6.48,0.02
6.57,0.02
6.66,0.00
6.75,0.00
6.84,-0.02
6.93,0.02
7.02,-0.02
7.11,0.02
7.2,-0.02
7.29,-0.02
7.38,0.00
7.47,0.02
7.56,-0.02
7.65,0.02
7.74,0.00
7.83,-0.02
7.92,-0.02
8.01,0.00
8.1,0.02
8.19,0.00
8.28,0.00
8.37,-0.02
8.46,0.00
8.55,0.00
8.64,0.02
8.73,0.00
8.82,0.04
8.91,0.00
9,0.02
9.09,0.02
9.18,0.00
9.27,-0.02
9.36,0.00
9.45,0.00
9.54,0.00
9.63,-0.02
9.72,0.00
9.81,0.00
9.9,0.00
9.99,-0.02
10.08,0.00
10.17,0.02
10.26,0.00
10.35,0.00
10.44,0.00
10.53,0.00
10.62,0.00
10.71,-0.02
10.8,0.00
10.89,0.00
10.98,-0.02
11.07,0.02
11.16,0.00
11.25,0.02
11.34,0.00
11.43,0.00
11.52,0.00
11.61,0.00
11.7,-0.02
11.79,0.00
11.88,0.02
11.97,0.02
12.06,0.00
12.15,0.02
12.24,0.00
12.33,-0.02
12.42,-0.02
12.51,0.02
12.6,-0.02
12.69,0.00
12.78,0.02
12.87,0.00
12.96,0.00
13.05,0.02
13.14,0.00
13.23,0.00
13.32,-0.02
13.41,-0.04
13.5,0.02
13.59,0.02
13.68,-0.02
13.77,0.02
13.86,-0.02
13.95,0.04
14.04,0.00
14.13,-0.02
14.22,-0.02
14.31,0.00
14.4,0.00
14.49,0.00
14.58,0.00
14.67,-0.02
14.76,0.02
14.85,0.00
14.94,0.00
15.03,-0.02
15.12,0.02
15.21,0.00
15.3,0.00
15.39,-0.02
15.48,-0.02
15.57,0.00
15.66,0.00
15.75,-0.02
15.84,0.02
15.93,0.02
16.02,0.02
16.11,0.00
16.2,0.02
16.29,0.02
16.38,0.00
16.47,-0.02
16.56,-0.02
16.65,0.00
16.74,0.02
16.83,0.00
16.92,0.00
17.01,-0.02
17.1,-0.02
17.19,-0.02
17.28,0.00
17.37,-0.02
17.46,0.02
17.55,-0.02
17.64,0.00
17.73,-0.02
17.82,0.00
17.91,0.02
18,0.00
18.09,0.02
18.18,-0.02
18.27,-0.02
18.36,0.00
18.45,0.02
18.54,0.02
18.63,0.02
18.72,0.00
18.81,0.00
18.9,-0.02
18.99,-0.02
19.08,0.02
19.17,0.00
19.26,0.00
19.35,-0.02
19.44,0.02
19.53,0.00
19.62,0.00
19.71,0.00
19.8,0.00
19.89,-0.02
19.98,-0.02
20.07,-0.02
20.16,-0.02
20.25,0.00
20.34,-0.02
20.43,0.00
20.52,0.00
20.61,0.00
20.7,-0.02
20.79,0.00
20.88,0.00
20.97,0.00
21.06,0.00
21.15,0.00
21.24,0.00
21.33,-0.02
21.42,0.00
21.51,0.00
21.6,0.02
21.69,0.00
21.78,0.00
21.87,0.00
21.96,-0.02
22.05,0.02
22.14,0.00
22.23,-0.02
22.32,0.00
22.41,0.00
22.5,0.00
22.59,0.00
22.68,0.00
22.77,-0.02
22.86,0.00
22.95,0.00
23.04,0.00
23.13,0.02
23.22,0.00
23.31,0.02
23.4,0.00
23.49,0.00
23.58,0.00
23.67,0.00
23.76,-0.02
23.85,0.00
23.94,0.02
24.03,0.00
24.12,-0.02
24.21,0.02
24.3,0.00
24.39,0.00
24.48,0.00
24.57,-0.02
24.66,0.00
24.75,0.00
24.84,0.00
24.93,0.00
25.02,0.00
25.11,0.02
25.2,0.02
25.29,0.00
25.38,-0.02
25.47,0.00
25.56,-0.02
25.65,0.02
25.74,0.02
25.83,0.02
25.92,0.02
26.01,0.00
26.1,-0.02
26.19,-0.02
26.28,0.00
26.37,0.00
26.46,0.00
26.55,0.00
26.64,0.00
26.73,-0.02
26.82,0.02
26.91,0.02
27,0.02
27.09,0.00
27.18,0.00
27.27,0.00
27.36,0.00
27.45,0.00
27.54,0.02
27.63,-0.02
27.72,0.00
27.81,-0.02
27.9,-0.02
27.99,-0.04
28.08,0.02
28.17,0.02
28.26,0.02
28.35,-0.02
28.44,0.02
28.53,-0.02
28.62,0.00
28.71,0.02
28.8,0.02
28.89,-0.02
28.98,0.00
29.07,0.00
29.16,-0.02
29.25,0.00
29.34,0.00
29.43,0.02
29.52,0.02
29.61,-0.02
29.7,-0.02
29.79,-0.02
29.88,0.00
29.97,0.00
30.06,0.02
30.15,0.00
30.24,0.00
30.33,0.00
30.42,0.02
30.51,0.02
30.6,0.00
30.69,-0.02
30.78,0.02
30.87,-0.02
30.96,0.00
31.05,0.00
31.14,0.00
31.23,0.00
31.32,0.00
31.41,0.00
31.5,0.00
31.59,0.00
31.68,0.00
31.77,0.02
31.86,0.00
31.95,-0.02
32.04,0.00
32.13,-0.02
32.22,0.00
32.31,0.00
32.4,0.00
32.49,0.02
32.58,0.02
32.67,-0.02
32.76,0.00
32.85,-0.02
32.94,0.00
33.03,0.00
33.12,0.02
33.21,0.00
33.3,0.00
33.39,0.00
33.48,0.02
33.57,0.02
33.66,0.00
33.75,0.00
33.84,-0.02
33.93,0.02
34.02,-0.02
34.11,-0.02
34.2,0.00
34.29,0.04
34.38,0.02
34.47,-0.02
34.56,0.00
34.65,0.02
34.74,0.02
34.83,0.02
34.92,0.02
35.01,0.00
35.1,0.00
35.19,0.00
35.28,-0.02
35.37,0.02
35.46,0.00
35.55,0.02
35.64,0.00
35.73,-0.02
35.82,-0.02
35.91,0.02
36,0.00
36.09,0.02
36.18,0.00
36.27,-0.02
36.36,0.00
36.45,0.00
36.54,-0.02
36.63,0.02
36.72,0.02
36.81,0.00
36.9,-0.02
36.99,-0.02
37.08,0.00
37.17,0.00
37.26,0.00
37.35,0.02
37.44,0.00
37.53,0.02
37.62,-0.02
37.71,0.02
37.8,-0.02
37.89,-0.02
37.98,0.02
38.07,0.00
38.16,-0.02
38.25,-0.02
38.34,0.00
38.43,0.00
38.52,0.00
38.61,0.00
38.7,0.00
38.79,0.00
38.88,-0.02
38.97,0.00
39.06,0.00
39.15,0.02
39.24,0.00
39.33,0.02
39.42,-0.02
39.51,0.00
39.6,0.04
39.69,-0.02
39.78,0.02
39.87,0.02
39.96,-0.02
40.05,-0.02
40.14,0.00
40.23,0.00
40.32,0.00
40.41,0.02
40.5,-0.02
40.59,0.02
40.68,0.00
40.77,0.00
40.86,0.00
40.95,0.00
41.04,0.02
41.13,0.00
41.22,0.00
41.31,0.02
41.4,-0.02
41.49,0.00
41.58,0.02
41.67,0.00
41.76,0.00
41.85,0.02
41.94,-0.02
42.03,-0.02
42.12,0.02
42.21,0.02
42.3,0.02
42.39,-0.02
42.48,0.02
42.57,0.00
42.66,0.00
42.75,0.00
42.84,0.02
42.93,-0.02
43.02,0.00
43.11,0.00
43.2,-0.02
43.29,0.00
43.38,0.02
43.47,0.02
43.56,0.00
43.65,-0.02
43.74,0.02
43.83,0.02
43.92,0.02
44.01,0.02
44.1,-0.02
44.19,0.00
44.28,0.02
44.37,-0.02
44.46,0.00
44.55,0.00
44.64,0.02
44.73,-0.02
44.82,0.02
44.91,0.00
45,-0.02
45.09,0.00
45.18,0.00
45.27,0.02
45.36,0.02
45.45,0.00
45.54,0.02
45.63,0.00
45.72,0.00
45.81,0.02
45.9,0.02
45.99,-0.02
46.08,0.02
46.17,-0.02
46.26,0.02
46.35,0.02
46.44,0.02
46.53,0.02
46.62,-0.02
46.71,0.00
46.8,-0.02
46.89,0.00
46.98,0.00
47.07,0.02
47.16,0.00
47.25,0.00
47.34,0.02
47.43,-0.02
47.52,0.00
47.61,0.02
47.7,0.00
47.79,0.00
47.88,0.00
47.97,-0.02
48.06,0.02
48.15,0.02
48.24,0.02
48.33,0.00
48.42,0.00
48.51,-0.02
48.6,-0.02
48.69,-0.02
48.78,0.02
48.87,0.00
48.96,0.00
49.05,0.00
49.14,0.00
49.23,-0.02
49.32,0.02
49.41,0.00
49.5,0.00
49.59,0.00
49.68,0.00
49.77,0.02
49.86,-0.02
49.95,-0.02
50.04,0.02
50.13,0.02
50.22,0.00
50.31,-0.02
50.4,0.02
50.49,-0.02
50.58,0.00
50.67,0.00
50.76,0.00
50.85,0.02
50.94,0.02
51.03,0.00
51.12,0.00
51.21,0.02
51.3,0.00
51.39,0.02
51.48,0.00
51.57,0.02
51.66,0.00
51.75,0.00
51.84,0.00
51.93,0.00
52.02,0.02
52.11,0.00
52.2,0.00
52.29,0.00
52.38,0.00
52.47,0.02
52.56,0.02
52.65,0.00
52.74,0.00
52.83,-0.02
52.92,0.02
53.01,0.00
53.1,0.00
53.19,0.02
53.28,0.00
53.37,0.00
53.46,0.02
53.55,0.00
53.64,0.02
53.73,0.00
53.82,0.02
53.91,0.00
54,-0.02
54.09,0.00
54.18,0.00
54.27,0.00
54.36,0.04
54.45,-0.02
54.54,-0.02
54.63,-0.02
54.72,-0.02
54.81,-0.02
54.9,0.02
54.99,0.00
55.08,0.00
55.17,-0.02
55.26,0.00
55.35,0.00
55.44,-0.02
55.53,0.00
55.62,0.00
55.71,0.00
55.8,0.00
55.89,0.00
55.98,-0.02
56.07,0.00
56.16,0.02
56.25,0.00
56.34,-0.02
56.43,0.00
56.52,0.00
56.61,0.02
56.7,0.00
56.79,0.00
56.88,0.02
56.97,0.00
57.06,0.00
57.15,0.00
57.24,0.00
57.33,0.02
57.42,0.00
57.51,0.00
57.6,0.02
57.69,-0.02
57.78,-0.02
57.87,-0.02
57.96,-0.02
58.05,0.02
58.14,-0.02
58.23,0.02
58.32,0.00
58.41,0.04
58.5,0.00
58.59,0.00
58.68,-0.02
58.77,0.00
58.86,0.00
58.95,-0.02
59.04,0.00
59.13,0.00
59.22,0.02
59.31,-0.02
59.4,-0.02
59.49,0.00
59.58,-0.02
59.67,-0.02
59.76,0.00
59.85,0.02
59.94,0.00
60.03,0.00
60.12,0.00
60.21,0.02
60.3,0.00
60.39,0.02
60.48,0.02
60.57,0.00
60.66,0.00
60.75,0.00
60.84,0.02
60.93,0.02
61.02,0.02
61.11,0.00
61.2,0.02
61.29,0.00
61.38,0.00
61.47,0.00
61.56,-0.02
61.65,0.02
61.74,0.02
61.83,0.00
61.92,-0.02
62.01,0.00
62.1,-0.02
62.19,0.02
62.28,0.00
62.37,-0.02
62.46,0.02
62.55,-0.02
62.64,-0.02
62.73,0.00
62.82,0.00
62.91,0.00
63,0.00
63.09,0.00
63.18,-0.02
63.27,0.00
63.36,0.00
63.45,0.00
63.54,0.02
63.63,-0.02
63.72,0.00
63.81,0.00
63.9,0.04
63.99,0.02
64.08,0.02
64.17,0.00
64.26,-0.02
64.35,0.00
64.44,0.00
64.53,0.02
64.62,0.02
64.71,0.02
64.8,0.00
64.89,0.00
64.98,0.00
65.07,-0.02
65.16,0.02
65.25,0.02
65.34,0.00
65.43,0.00
65.52,0.00
65.61,0.00
65.7,-0.02
65.79,0.00
65.88,0.02
65.97,0.00
66.06,-0.02
66.15,0.00
66.24,0.00
66.33,-0.02
66.42,0.02
66.51,0.02
66.6,0.02
66.69,-0.02
66.78,-0.02
66.87,0.00
66.96,0.02
67.05,-0.02
67.14,0.02
67.23,0.00
67.32,0.02
67.41,0.00
67.5,0.00
67.59,0.00
67.68,0.00
67.77,0.00
67.86,0.00
67.95,0.00
68.04,0.00
68.13,0.02
68.22,0.02
68.31,0.02
68.4,-0.02
68.49,0.00
68.58,0.00
68.67,-0.02
68.76,-0.02
68.85,0.00
68.94,0.00
69.03,0.04
69.12,-0.02
69.21,0.00
69.3,0.00
69.39,0.00
69.48,0.02
69.57,0.02
69.66,0.00
69.75,0.00
69.84,-0.02
69.93,-0.02
70.02,-0.02
70.11,0.00
70.2,0.02
70.29,-0.02
70.38,0.00
70.47,-0.02
70.56,0.02
70.65,0.00
70.74,0.02
70.83,0.02
70.92,-0.02
71.01,0.00
71.1,0.00
71.19,0.02
71.28,-0.02
71.37,0.02
71.46,0.00
71.55,0.00
71.64,0.00
71.73,0.00
71.82,0.02
71.91,0.00
72,-0.02
72.09,0.00
72.18,0.00
72.27,0.00
72.36,-0.02
72.45,0.00
72.54,0.04
72.63,0.02
72.72,-0.02
72.81,0.00
72.9,0.02
72.99,0.00
73.08,0.00
73.17,0.04
73.26,0.00
73.35,-0.02
73.44,0.00
73.53,0.00
73.62,0.02
73.71,0.02
73.8,0.02
73.89,0.00
73.98,0.00
74.07,-0.02
74.16,0.00
74.25,0.00
74.34,0.02
74.43,0.02
74.52,-0.02
74.61,0.02
74.7,-0.02
74.79,-0.02
74.88,0.02
74.97,0.02
75.06,0.02
75.15,-0.02
75.24,0.00
75.33,-0.02
75.42,0.00
75.51,0.00
75.6,0.02
75.69,0.00
75.78,0.00
75.87,0.00
75.96,0.00
76.05,0.02
76.14,0.02
76.23,-0.02
76.32,0.00
76.41,-0.02
76.5,0.00
76.59,0.00
76.68,0.02
76.77,0.02
76.86,0.02
76.95,0.00
77.04,-0.02
77.13,0.00
77.22,0.00
77.31,0.02
77.4,0.00
77.49,0.02
77.58,0.00
77.67,0.00
77.76,-0.02
77.85,0.02
77.94,0.02
78.03,0.00
78.12,0.02
78.21,0.00
78.3,-0.02
78.39,-0.02
78.48,0.00
78.57,-0.02
78.66,0.00
78.75,0.02
78.84,-0.02
78.93,-0.02
79.02,0.00
79.11,0.02
79.2,0.00
79.29,0.00
79.38,0.00
79.47,-0.02
79.56,0.00
79.65,0.00
79.74,0.02
79.83,0.02
79.92,0.00
80.01,0.02
80.1,0.00
80.19,0.00
80.28,0.00
80.37,0.00
80.46,-0.02
80.55,0.00
80.64,-0.02
80.73,-0.02
80.82,0.02
80.91,0.00
81,0.02
81.09,0.00
81.18,-0.02
81.27,-0.02
81.36,-0.02
81.45,0.00
81.54,0.00
81.63,0.00
81.72,0.00
81.81,0.00
81.9,-0.02
81.99,0.00
82.08,0.02
82.17,0.00
82.26,0.02
82.35,0.00
82.44,0.00
82.53,0.00
82.62,0.02
82.71,0.02
82.8,0.00
82.89,0.00
82.98,0.00
83.07,0.00
83.16,0.00
83.25,0.00
83.34,-0.02
83.43,0.00
83.52,0.00
83.61,0.02
83.7,-0.02
83.79,0.00
83.88,0.02
83.97,0.00
84.06,0.02
84.15,0.00
84.24,0.00
84.33,0.00
84.42,-0.02
84.51,0.00
84.6,0.00
84.69,0.02
84.78,0.00
84.87,0.00
84.96,0.00
85.05,-0.02
85.14,0.00
85.23,0.02
85.32,0.00
85.41,-0.02
85.5,0.00
85.59,0.00
85.68,0.02
85.77,0.02
85.86,0.00
85.95,0.02
86.04,0.00
86.13,0.00
86.22,-0.02
86.31,0.04
86.4,-0.02
86.49,0.00
86.58,0.00
86.67,-0.02
86.76,0.00
86.85,-0.02
86.94,0.00
87.03,0.02
87.12,-0.02
87.21,0.02
87.3,0.00
87.39,0.00
87.48,-0.02
87.57,0.00
87.66,0.00
87.75,0.00
87.84,-0.02
87.93,0.00
88.02,-0.02
88.11,0.00
88.2,0.02
88.29,0.00
88.38,0.00
88.47,0.00
88.56,-0.02
88.65,-0.02
88.74,0.00
88.83,0.00
88.92,0.00
89.01,0.00
89.1,0.00
89.19,-0.02
89.28,0.02
89.37,0.02
89.46,-0.02
89.55,0.00
89.64,0.00
89.73,-0.02
89.82,0.00
89.91,0.00